,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
17603,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17833,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17864,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17921,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17942,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
18172,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20110,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20112,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20113,roxana,2017-03-31,roxana,ODS_INV_7040,2017-01-03,2017-01-03,True,2017,3,31,5,2017,1,3,2,2017,1,3,2
20170,roxana,2017-03-31,roxana,ODS_INV_7040,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
27939,roxana,2017-04-10,roxana,ODS_INV_7040,2017-04-05,2017-04-05,True,2017,4,10,1,2017,4,5,3,2017,4,5,3
