,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
14,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
16,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
87,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
89,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
90,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
161,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
162,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
472,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
548,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
549,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
1423,roxana,2017-02-13,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
4043,roxana,2017-02-22,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4046,roxana,2017-02-22,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
5734,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
5768,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6066,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
6348,roxana,2017-02-09,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
6935,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
19637,roxana,2017-03-31,roxana,ODS_POS_7150,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
21222,roxana,2017-03-29,roxana,ODS_POS_7150,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
28849,roxana,2017-04-17,roxana,ODS_POS_7150,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29511,roxana,2017-04-17,roxana,ODS_POS_7150,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
