,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
14,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
16,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
87,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
89,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
90,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
93,roxana,2017-02-08,roxana,ODS_FIN_1060,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
161,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
162,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
184,roxana,2017-02-10,roxana,ODS_FIN_0310,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
185,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
186,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
187,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
188,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
189,roxana,2017-02-14,roxana,ODS_INV_7100,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
229,roxana,2017-02-10,roxana,ODS_FIN_0730,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
230,roxana,2017-02-10,roxana,ODS_FIN_1340,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
258,roxana,2017-02-14,roxana,ODS_INV_7200,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
260,roxana,2017-02-14,roxana,ODS_FIN_0310,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
304,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
305,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
306,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
472,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
548,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
549,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
570,roxana,2017-02-08,roxana,ODS_FIN_0610,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
736,roxana,2017-02-08,roxana,ODS_FIN_0750,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
1150,roxana,2017-02-14,roxana,ODS_FIN_0730,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1151,roxana,2017-02-14,roxana,ODS_FIN_0730,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1158,roxana,2017-02-14,roxana,ODS_FIN_0770,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1159,roxana,2017-02-14,roxana,ODS_FIN_0770,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1171,roxana,2017-02-14,roxana,ODS_FIN_0351,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1173,roxana,2017-02-14,roxana,ODS_FIN_0350,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1177,roxana,2017-02-14,roxana,ODS_FIN_1340,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1238,roxana,2017-02-14,roxana,ODS_FIN_0310,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1269,roxana,2017-02-14,roxana,ODS_FIN_1340,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1270,roxana,2017-02-14,roxana,ODS_FIN_1340,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1271,roxana,2017-02-14,roxana,ODS_FIN_1340,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1309,roxana,2017-02-14,roxana,ODS_FIN_0730,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1310,roxana,2017-02-14,roxana,ODS_FIN_1340,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
