,username,query_date,report_name,doc,start_date,end_date,is_period
12329,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
12330,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
12339,shiang,2017-03-17,shiang,ODS_SC_6170,2017-02-03,2017-02-03,True
12340,shiang,2017-03-17,shiang,ODS_SC_6180,2017-02-03,2017-02-03,True
12341,shiang,2017-03-17,shiang,LS_SC_2103,2017-02-03,2017-02-03,True
12342,shiang,2017-03-17,shiang,LS_SC_5720,2017-02-03,2017-02-03,True
12343,shiang,2017-03-17,shiang,LS_SC_2024,2017-02-03,2017-02-03,True
12344,shiang,2017-03-17,shiang,LS_SC_5120,2017-02-03,2017-02-03,True
12345,shiang,2017-03-17,shiang,LS_SC_2102,2017-02-03,2017-02-03,True
12346,shiang,2017-03-17,shiang,LS_SC_2023,2017-02-03,2017-02-03,True
12347,shiang,2017-03-17,shiang,FMT_UNB_0090,2017-02-03,2017-02-03,True
12348,shiang,2017-03-17,shiang,FMT_UNB_0091,2017-02-03,2017-02-03,True
12349,shiang,2017-03-17,shiang,FMT_UNB_0092,2017-02-03,2017-02-03,True
12350,shiang,2017-03-17,shiang,FMT_UNB_0120,2017-02-03,2017-02-03,True
12351,shiang,2017-03-17,shiang,FMT_UNB_0130,2017-02-03,2017-02-03,True
12354,shiang,2017-03-17,shiang,ODS_UNB_0231,2017-02-07,2017-02-07,True
12355,shiang,2017-03-17,shiang,ODS_UNB_0232,2017-02-07,2017-02-07,True
12359,shiang,2017-03-17,shiang,FMT_UNB_0200,2017-02-03,2017-02-03,True
12360,shiang,2017-03-17,shiang,FMT_UNB_0201,2017-02-03,2017-02-03,True
12361,shiang,2017-03-17,shiang,ODS_POS_0430,,9999-12-31,True
13135,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13136,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13137,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13138,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13139,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13140,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13143,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13145,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13149,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13150,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True
13484,shiang,2017-03-17,shiang,ODS_POS_1260,2017-01-13,2017-01-13,True
