,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4998,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
4999,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
5000,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
5002,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
5003,shiang,2017-03-10,shiang,ODS_POS_0880,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
7595,shiang,2017-03-09,shiang,ODS_POS_0880,2017-01-10,2017-01-10,True,2017,3,9,4,2017,1,10,2,2017,1,10,2
7664,shiang,2017-03-01,shiang,ODS_POS_0880,2017-01-03,2017-01-03,True,2017,3,1,3,2017,1,3,2,2017,1,3,2
7841,shiang,2017-03-06,shiang,ODS_POS_0880,2017-01-10,2017-01-10,True,2017,3,6,1,2017,1,10,2,2017,1,10,2
10821,shiang,2017-03-14,shiang,ODS_POS_0880,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
10903,shiang,2017-03-14,shiang,ODS_POS_0880,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11070,shiang,2017-03-14,shiang,ODS_POS_0880,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
12329,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
12330,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13135,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13136,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13137,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13138,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13139,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13140,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13143,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13145,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13149,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
13150,shiang,2017-03-17,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,17,5,2017,2,7,2,2017,2,7,2
14668,shiang,2017-03-21,shiang,ODS_POS_0880,2017-02-07,2017-02-07,True,2017,3,21,2,2017,2,7,2,2017,2,7,2
