,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
954,user1,2017-02-10,user1,ODS_FIN_0860,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
957,user1,2017-02-10,user1,ODS_FIN_0860,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
1448,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1492,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1550,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1595,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1656,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1657,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1658,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1659,user1,2017-04-19,user1,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1837,user1,2017-02-17,user1,ODS_FIN_0860,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2614,user1,2017-02-17,user1,ODS_FIN_0860,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2615,user1,2017-02-17,user1,ODS_FIN_0860,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
5024,user1,2017-03-10,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
5039,user1,2017-03-10,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
5040,user1,2017-03-10,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
5041,user1,2017-03-10,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,10,5,0,0,0,0,0,0,0,0
10700,user1,2017-03-13,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
10701,user1,2017-03-13,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
12934,user1,2017-03-16,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
12981,user1,2017-03-16,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13609,user1,2017-03-20,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
14409,user1,2017-03-21,user1,ODS_FIN_0860,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
