,username,query_date,report_name,doc,start_date,end_date,is_period
4976,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
5242,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
5405,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
7609,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
7614,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
8494,user18,2017-03-10,user18,FMT_POS_0370,2017-01-01,2017-03-31,True
8648,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
8649,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
9225,user18,2017-03-10,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
9233,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
9609,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
9611,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
