,username,query_date,report_name,doc,start_date,end_date,is_period
259,user18,2017-02-14,user18,FMT_POS_0290,2017-01-01,2017-02-14,True
456,user18,2017-04-19,user18,ODS_POS_1010,2017-04-30,2017-04-30,True
1515,user18,2017-04-19,user18,ODS_POS_1490,2017-04-30,2017-04-30,True
1535,user18,2017-04-19,user18,ODS_POS_1010,2017-04-30,2017-04-30,True
1536,user18,2017-04-19,user18,ODS_POS_1010,2017-04-30,2017-04-30,True
1538,user18,2017-04-19,user18,ODS_POS_1490,2017-04-30,2017-04-30,True
2861,user18,2017-04-19,user18,ODS_POS_1440,2017-01-03,2017-01-03,True
2862,user18,2017-04-19,user18,ODS_POS_1440,2017-01-02,2017-01-02,True
3027,user18,2017-02-17,user18,FMT_POS_0250,2017-01-01,2017-02-17,True
4922,user18,2017-02-08,user18,ODS_POS_0430,,9999-12-31,True
4976,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
5242,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
5405,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
7609,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
7614,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
7667,user18,2017-03-06,user18,FMT_POS_0250,2017-01-01,2017-03-06,True
8016,user18,2017-03-06,user18,FMT_POS_0250,2017-01-01,2017-03-06,True
8017,user18,2017-03-06,user18,FMT_POS_0250,2017-01-13,2017-01-13,True
8042,user18,2017-03-06,user18,ODS_POS_1460,2017-01-10,2017-01-10,True
8090,user18,2017-03-06,user18,FMT_POS_0250,2016-12-01,2017-03-06,True
8494,user18,2017-03-10,user18,FMT_POS_0370,2017-01-01,2017-03-31,True
8648,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
8649,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
8657,user18,2017-03-06,user18,FMT_POS_0250,2017-01-10,2017-01-10,True
8777,user18,2017-03-06,user18,ODS_POS_1440,2017-01-10,2017-01-10,True
8778,user18,2017-03-06,user18,ODS_POS_1440,2017-01-03,2017-01-03,True
8999,user18,2017-03-06,user18,ODS_POS_1460,2017-01-10,2017-01-10,True
9225,user18,2017-03-10,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
9233,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
9609,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
9611,user18,2017-03-10,user18,FMT_POS_0250,2017-01-01,2017-03-31,True
9911,user18,2017-03-09,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
9912,user18,2017-03-09,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
9913,user18,2017-03-09,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
9914,user18,2017-03-09,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
9915,user18,2017-03-09,user18,FMT_POS_0370,2017-02-02,2017-02-02,True
