,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
3931,user2,2017-02-21,user2,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
9731,user2,2017-03-10,user2,#POLICY#,2017-01-01,2017-02-02,True,2017,3,10,5,2017,1,1,7,2017,2,2,4
9832,user2,2017-03-07,user2,#POLICY#,2017-01-01,2017-01-26,True,2017,3,7,2,2017,1,1,7,2017,1,26,4
14641,user2,2017-03-22,user2,#POLICY#,2017-03-01,2017-03-01,True,2017,3,22,3,2017,3,1,3,2017,3,1,3
16349,user2,2017-03-23,user2,#POLICY#,2016-03-23,2016-03-23,True,2017,3,23,4,2016,3,23,3,2016,3,23,3
16354,user2,2017-03-23,user2,#POLICY#,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
16938,user2,2017-03-23,user2,#POLICY#,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
17026,user2,2017-03-22,user2,#POLICY#,2017-03-01,2017-03-01,True,2017,3,22,3,2017,3,1,3,2017,3,1,3
17050,user2,2017-03-22,user2,#POLICY#,2017-02-01,2017-03-31,True,2017,3,22,3,2017,2,1,3,2017,3,31,5
17347,user2,2017-03-23,user2,#POLICY#,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
17375,user2,2017-03-23,user2,#POLICY#,2016-03-23,2016-03-23,True,2017,3,23,4,2016,3,23,3,2016,3,23,3
17376,user2,2017-03-23,user2,#POLICY#,2016-03-23,2016-03-23,True,2017,3,23,4,2016,3,23,3,2016,3,23,3
17445,user2,2017-03-23,user2,#POLICY#,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
19058,user2,2017-03-27,user2,#POLICY#,2017-01-01,2017-03-31,True,2017,3,27,1,2017,1,1,7,2017,3,31,5
28965,user2,2017-04-14,user2,#POLICY#,2017-01-01,2017-05-01,True,2017,4,14,5,2017,1,1,7,2017,5,1,1
28966,user2,2017-04-14,user2,#POLICY#,2017-01-01,2017-05-01,True,2017,4,14,5,2017,1,1,7,2017,5,1,1
