,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1224,user2,2017-02-14,user2,FMT_POS_0250,2016-01-01,2018-01-31,True,2017,2,14,2,2016,1,1,5,2018,1,31,3
1226,user2,2017-02-14,user2,FMT_POS_0250,2015-09-01,2018-02-28,True,2017,2,14,2,2015,9,1,2,2018,2,28,3
1260,user2,2017-02-14,user2,FMT_POS_0090,2015-09-01,2017-03-31,True,2017,2,14,2,2015,9,1,2,2017,3,31,5
1265,user2,2017-02-14,user2,FMT_POS_1570,2017-01-01,2017-02-14,True,2017,2,14,2,2017,1,1,7,2017,2,14,2
1558,user2,2017-04-19,user2,ODS_POS_1330,2017-04-05,2017-04-05,True,2017,4,19,3,2017,4,5,3,2017,4,5,3
1594,user2,2017-04-19,user2,ODS_POS_1330,2017-03-31,2017-03-31,True,2017,4,19,3,2017,3,31,5,2017,3,31,5
1850,user2,2017-02-15,user2,ODS_POS_1360,2017-01-31,2017-01-31,True,2017,2,15,3,2017,1,31,2,2017,1,31,2
1885,user2,2017-02-15,user2,FMT_POS_0320,2016-12-01,2017-02-15,True,2017,2,15,3,2016,12,1,4,2017,2,15,3
2196,user2,2017-02-16,user2,ODS_POS_1360,2016-01-01,2016-01-01,True,2017,2,16,4,2016,1,1,5,2016,1,1,5
2197,user2,2017-02-16,user2,ODS_POS_1360,2016-02-01,2016-02-01,True,2017,2,16,4,2016,2,1,1,2016,2,1,1
2198,user2,2017-02-16,user2,ODS_POS_1360,2016-03-01,2016-03-01,True,2017,2,16,4,2016,3,1,2,2016,3,1,2
2200,user2,2017-02-16,user2,ODS_POS_1360,2016-10-06,2016-10-06,True,2017,2,16,4,2016,10,6,4,2016,10,6,4
2205,user2,2017-02-16,user2,ODS_POS_1360,2016-10-10,2016-10-10,True,2017,2,16,4,2016,10,10,1,2016,10,10,1
2238,user2,2017-02-16,user2,FMT_POS_0150,2016-10-01,2017-02-16,True,2017,2,16,4,2016,10,1,6,2017,2,16,4
2640,user2,2017-02-16,user2,ODS_POS_1320,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2786,user2,2017-04-19,user2,FMT_POS_0190,2017-05-31,2017-05-31,True,2017,4,19,3,2017,5,31,3,2017,5,31,3
2854,user2,2017-04-19,user2,FMT_UNB_0372,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
2871,user2,2017-04-19,user2,FMT_UNB_0090,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
2878,user2,2017-04-19,user2,FMT_POS_0190,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
3710,user2,2017-02-21,user2,ODS_POS_1440,2017-01-10,2017-01-10,True,2017,2,21,2,2017,1,10,2,2017,1,10,2
3807,user2,2017-02-20,user2,FMT_POS_0250,2016-12-01,2017-02-20,True,2017,2,20,1,2016,12,1,4,2017,2,20,1
3931,user2,2017-02-21,user2,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
4014,user2,2017-02-21,user2,ODS_POS_1450,,9999-12-31,True,2017,2,21,2,0,0,0,0,0,0,0,0
4215,user2,2017-02-24,user2,FMT_POS_0250,2017-01-01,2017-02-24,True,2017,2,24,5,2017,1,1,7,2017,2,24,5
