,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
12070,user3,2017-03-15,user3,ODS_POS_1330,2017-02-07,2017-02-07,True,2017,3,15,3,2017,2,7,2,2017,2,7,2
12071,user3,2017-03-15,user3,ODS_POS_1330,2017-01-26,2017-01-26,True,2017,3,15,3,2017,1,26,4,2017,1,26,4
12072,user3,2017-03-15,user3,ODS_POS_1330,2017-01-22,2017-01-22,True,2017,3,15,3,2017,1,22,7,2017,1,22,7
12074,user3,2017-03-15,user3,ODS_POS_1330,2017-01-26,2017-01-26,True,2017,3,15,3,2017,1,26,4,2017,1,26,4
12519,user3,2017-03-18,user3,ODS_POS_1330,2017-02-27,2017-02-27,True,2017,3,18,6,2017,2,27,1,2017,2,27,1
12520,user3,2017-03-18,user3,ODS_POS_1330,2017-02-07,2017-02-07,True,2017,3,18,6,2017,2,7,2,2017,2,7,2
12521,user3,2017-03-18,user3,ODS_POS_1330,2017-02-02,2017-02-02,True,2017,3,18,6,2017,2,2,4,2017,2,2,4
12522,user3,2017-03-18,user3,ODS_POS_1330,2017-01-31,2017-01-31,True,2017,3,18,6,2017,1,31,2,2017,1,31,2
12645,user3,2017-03-18,user3,ODS_POS_1330,2017-01-03,2017-01-03,True,2017,3,18,6,2017,1,3,2,2017,1,3,2
12646,user3,2017-03-18,user3,ODS_POS_1330,2017-01-02,2017-01-02,True,2017,3,18,6,2017,1,2,1,2017,1,2,1
12670,user3,2017-03-18,user3,ODS_POS_1330,2017-02-07,2017-02-07,True,2017,3,18,6,2017,2,7,2,2017,2,7,2
