,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4198,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
4199,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4200,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4201,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4202,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4203,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
5399,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
5400,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
5411,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
5466,user4,2017-03-07,user4,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
11072,user4,2017-03-14,user4,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,14,2,2017,1,10,2,2017,1,10,2
11075,user4,2017-03-14,user4,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,14,2,2017,1,10,2,2017,1,10,2
11078,user4,2017-03-14,user4,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,14,2,2017,1,10,2,2017,1,10,2
11079,user4,2017-03-14,user4,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,14,2,2017,1,10,2,2017,1,10,2
