,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
10550,user4,2017-03-11,user4,ODS_UNB_0050,2017-01-26,2017-01-26,True,2017,3,11,6,2017,1,26,4,2017,1,26,4
10655,user4,2017-03-13,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,13,1,2017,2,2,4,2017,2,2,4
10661,user4,2017-03-13,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,13,1,2017,2,2,4,2017,2,2,4
10909,user4,2017-03-14,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
10910,user4,2017-03-14,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11049,user4,2017-03-14,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11422,user4,2017-03-13,user4,ODS_UNB_0050,2017-02-07,2017-02-07,True,2017,3,13,1,2017,2,7,2,2017,2,7,2
11423,user4,2017-03-13,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,13,1,2017,2,2,4,2017,2,2,4
11973,user4,2017-03-14,user4,ODS_UNB_0050,2017-02-06,2017-02-06,True,2017,3,14,2,2017,2,6,1,2017,2,6,1
11974,user4,2017-03-14,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11975,user4,2017-03-14,user4,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
