,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2483,user5,2017-02-17,user5,FMT_POS_0160,2017-01-03,2017-01-03,True,2017,2,17,5,2017,1,3,2,2017,1,3,2
4167,user5,2017-03-07,user5,FMT_POS_0160,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
4168,user5,2017-03-07,user5,FMT_POS_0160,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4169,user5,2017-03-07,user5,FMT_POS_0160,2017-01-03,2017-01-03,True,2017,3,7,2,2017,1,3,2,2017,1,3,2
4210,user5,2017-03-07,user5,FMT_POS_0160,2017-01-03,2017-01-03,True,2017,3,7,2,2017,1,3,2,2017,1,3,2
4693,user5,2017-03-07,user5,FMT_POS_0160,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
4694,user5,2017-03-07,user5,FMT_POS_0160,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
9860,user5,2017-03-09,user5,FMT_POS_0160,2017-01-26,2017-01-26,True,2017,3,9,4,2017,1,26,4,2017,1,26,4
9870,user5,2017-03-09,user5,FMT_POS_0160,2017-01-26,2017-01-26,True,2017,3,9,4,2017,1,26,4,2017,1,26,4
9908,user5,2017-03-09,user5,FMT_POS_0160,2017-01-26,2017-01-26,True,2017,3,9,4,2017,1,26,4,2017,1,26,4
9909,user5,2017-03-09,user5,FMT_POS_0160,2017-01-26,2017-01-26,True,2017,3,9,4,2017,1,26,4,2017,1,26,4
9919,user5,2017-03-09,user5,FMT_POS_0160,2017-02-02,2017-02-02,True,2017,3,9,4,2017,2,2,4,2017,2,2,4
