,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
10551,user9,2017-04-12,user9,FMT_PA_0730,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
10552,user9,2017-04-12,user9,FMT_PA_0730,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
10555,user9,2017-04-12,user9,FMT_PA_0730,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
25873,user9,2017-04-07,user9,FMT_PA_0730,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
25874,user9,2017-04-07,user9,FMT_PA_0730,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
29513,user9,2017-04-18,user9,FMT_PA_0730,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
29545,user9,2017-04-17,user9,FMT_PA_0730,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29608,user9,2017-04-17,user9,FMT_PA_0730,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29743,user9,2017-04-17,user9,FMT_PA_0730,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
30154,user9,2017-04-17,user9,FMT_PA_0730,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
30162,user9,2017-04-17,user9,FMT_PA_0730,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
31056,user9,2017-04-18,user9,FMT_PA_0730,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
