,username,query_date,report_name,doc,start_date,end_date,is_period
1839,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
2276,weiting,2017-02-17,weiting,ODS_INV_7210,,9999-12-31,True
3031,weiting,2017-02-17,weiting,ODS_ACT_0280,,9999-12-31,True
3032,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3037,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3038,weiting,2017-02-17,weiting,ODS_ACT_0280,,9999-12-31,True
3041,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3042,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3045,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3085,weiting,2017-02-17,weiting,ODS_INV_7170,,9999-12-31,True
