,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
227,weiting,2017-02-10,weiting,ODS_FIN_1340,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
239,weiting,2017-02-10,weiting,ODS_FIN_1340,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
465,weiting,2017-02-09,weiting,ODS_RI_0330,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
551,weiting,2017-02-10,weiting,ODS_INV_7200,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
552,weiting,2017-02-10,weiting,ODS_INV_7200,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
557,weiting,2017-02-14,weiting,ODS_INV_7200,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
1060,weiting,2017-02-10,weiting,ODS_FIN_0730,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
1064,weiting,2017-02-10,weiting,ODS_FIN_0730,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
1076,weiting,2017-02-10,weiting,ODS_FIN_0730,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
1699,weiting,2017-02-15,weiting,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1702,weiting,2017-02-15,weiting,ODS_POS_1350_P,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1839,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
1884,weiting,2017-02-15,weiting,ODS_POS_1350_E,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
2070,weiting,2017-02-16,weiting,ODS_POS_1350_E,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2276,weiting,2017-02-17,weiting,ODS_INV_7210,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2624,weiting,2017-02-16,weiting,ODS_POS_0780,2016-10-28,2016-10-28,True,2017,2,16,4,2016,10,28,5,2016,10,28,5
2625,weiting,2017-02-16,weiting,ODS_POS_0780,2017-01-02,2017-01-02,True,2017,2,16,4,2017,1,2,1,2017,1,2,1
