,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4006,yusiang,2017-02-22,yusiang,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
7289,yusiang,2017-02-22,yusiang,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
20505,yusiang,2017-03-27,yusiang,#POLICY#,2012-01-01,2017-01-01,True,2017,3,27,1,2012,1,1,7,2017,1,1,7
20582,yusiang,2017-03-27,yusiang,#POLICY#,2012-01-01,2017-01-01,True,2017,3,27,1,2012,1,1,7,2017,1,1,7
20586,yusiang,2017-03-27,yusiang,#POLICY#,2012-01-01,2018-01-01,True,2017,3,27,1,2012,1,1,7,2018,1,1,1
29123,yusiang,2017-04-14,yusiang,#POLICY#,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29129,yusiang,2017-04-14,yusiang,#POLICY#,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29926,yusiang,2017-04-14,yusiang,#POLICY#,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29927,yusiang,2017-04-14,yusiang,#POLICY#,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29928,yusiang,2017-04-14,yusiang,#POLICY#,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29929,yusiang,2017-04-14,yusiang,#POLICY#,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
