,username,query_date,report_name,doc,start_date,end_date,is_period
26393,yusiang,2017-04-12,yusiang,ODS_INV_7250,2017-01-05,2017-04-05,True
26443,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26449,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26450,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26451,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26452,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26453,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26454,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
26598,yusiang,2017-04-12,yusiang,ODS_INV_7250,,9999-12-31,True
26623,yusiang,2017-04-12,yusiang,ODS_INV_7250,2017-01-05,2017-04-05,True
26627,yusiang,2017-04-12,yusiang,ODS_INV_7250,2017-01-05,2017-04-05,True
26661,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26662,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26663,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26664,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26668,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-01-01,2017-01-01,True
26669,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-01-25,2017-01-25,True
26686,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-04-05,2017-04-05,True
26687,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-03-31,2017-03-31,True
26723,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-04-05,2017-04-05,True
26724,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-04-05,2017-04-05,True
26725,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-04-05,2017-04-05,True
26833,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-03-31,2017-03-31,True
26835,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-03-31,2017-03-31,True
26875,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26877,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26878,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
26879,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True
27236,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27238,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27247,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27278,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27280,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27281,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27282,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27283,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
27284,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True
