,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4089,yusiang,2017-02-23,yusiang,FMT_POS_0080,2015-11-01,2017-02-28,True,2017,2,23,4,2015,11,1,7,2017,2,28,2
4094,yusiang,2017-02-23,yusiang,FMT_POS_0080,2015-11-01,2017-02-28,True,2017,2,23,4,2015,11,1,7,2017,2,28,2
14038,yusiang,2017-03-20,yusiang,FMT_POS_0080,2000-01-01,2017-03-20,True,2017,3,20,1,2000,1,1,6,2017,3,20,1
14039,yusiang,2017-03-20,yusiang,FMT_POS_0080,2000-01-01,2017-03-20,True,2017,3,20,1,2000,1,1,6,2017,3,20,1
14171,yusiang,2017-03-20,yusiang,FMT_POS_0080,2000-01-01,2017-03-20,True,2017,3,20,1,2000,1,1,6,2017,3,20,1
14173,yusiang,2017-03-20,yusiang,FMT_POS_0080,2000-01-01,2017-03-20,True,2017,3,20,1,2000,1,1,6,2017,3,20,1
14175,yusiang,2017-03-20,yusiang,FMT_POS_0080,2000-01-01,2017-03-14,True,2017,3,20,1,2000,1,1,6,2017,3,14,2
20175,yusiang,2017-03-27,yusiang,FMT_POS_0080,2012-01-01,2018-01-01,True,2017,3,27,1,2012,1,1,7,2018,1,1,1
20177,yusiang,2017-03-27,yusiang,FMT_POS_0080,2012-01-01,2018-01-01,True,2017,3,27,1,2012,1,1,7,2018,1,1,1
20511,yusiang,2017-03-27,yusiang,FMT_POS_0080,2012-01-01,2017-01-01,True,2017,3,27,1,2012,1,1,7,2017,1,1,7
