,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
26443,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26449,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26450,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26451,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26452,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26453,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26454,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27236,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27238,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27247,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27278,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27280,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27281,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27282,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27283,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27284,yusiang,2017-04-12,yusiang,ODS_FIN_0330,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
