,username,query_date,report_name,doc,start_date,end_date,is_period
1887,yusiang,2017-02-15,yusiang,ODS_FIN_0351,,9999-12-31,True
4006,yusiang,2017-02-22,yusiang,#POLICY#,,9999-12-31,True
4085,yusiang,2017-02-23,yusiang,FMT_POS_0060,2015-11-01,2017-02-28,True
4086,yusiang,2017-02-23,yusiang,FMT_POS_0070,2015-11-01,2017-02-28,True
4087,yusiang,2017-02-23,yusiang,FMT_POS_0310,2015-11-01,2017-02-28,True
4088,yusiang,2017-02-23,yusiang,FMT_POS_0090,2015-11-01,2017-02-28,True
4089,yusiang,2017-02-23,yusiang,FMT_POS_0080,2015-11-01,2017-02-28,True
4090,yusiang,2017-02-23,yusiang,FMT_POS_0060,2015-11-01,2017-02-28,True
4091,yusiang,2017-02-23,yusiang,FMT_POS_0070,2015-11-01,2017-02-28,True
4092,yusiang,2017-02-23,yusiang,FMT_POS_0310,2015-11-01,2017-02-28,True
4093,yusiang,2017-02-23,yusiang,FMT_POS_0090,2015-11-01,2017-02-28,True
4094,yusiang,2017-02-23,yusiang,FMT_POS_0080,2015-11-01,2017-02-28,True
4104,yusiang,2017-02-23,yusiang,LS_SC_5730,2017-02-20,2017-02-20,True
4105,yusiang,2017-02-23,yusiang,ODS_SC_6211,2017-02-20,2017-02-20,True
4106,yusiang,2017-02-23,yusiang,ODS_SC_6210,2017-02-20,2017-02-20,True
4107,yusiang,2017-02-23,yusiang,FMT-POS-0010,2017-02-20,2017-02-20,True
4108,yusiang,2017-02-23,yusiang,ODS_CLM_0580,2017-02-20,2017-02-20,True
4109,yusiang,2017-02-23,yusiang,FMT-POS-0030,2017-02-20,2017-02-20,True
4110,yusiang,2017-02-23,yusiang,FMT-POS-0040,2017-02-20,2017-02-20,True
4111,yusiang,2017-02-23,yusiang,FMT-POS-0260,2017-02-20,2017-02-20,True
4112,yusiang,2017-02-23,yusiang,FMT-POS-1120,2017-02-20,2017-02-20,True
4113,yusiang,2017-02-23,yusiang,ODS-POS-0930,2017-02-20,2017-02-20,True
4114,yusiang,2017-02-23,yusiang,ODS-POS-0950,2017-02-20,2017-02-20,True
4115,yusiang,2017-02-23,yusiang,ODS-POS-0970,2017-02-20,2017-02-20,True
4116,yusiang,2017-02-23,yusiang,ODS-POS-1160,2017-02-20,2017-02-20,True
4117,yusiang,2017-02-23,yusiang,ODS_POS_1350,2017-02-20,2017-02-20,True
4118,yusiang,2017-02-23,yusiang,ODS_POS_1380,2017-02-20,2017-02-20,True
4119,yusiang,2017-02-23,yusiang,ODS_POS_1250,2017-02-20,2017-02-20,True
4120,yusiang,2017-02-23,yusiang,ODS_POS_1260,2017-02-20,2017-02-20,True
