,username,query_date,report_name,doc,start_date,end_date,is_period
0,001713,2017-02-10,001713,ODS_UNB_0460,2016-08-31,2016-08-31,True
1,calvin,2017-02-10,calvin,ODS_PA_0500_P,2016-11-30,2016-11-30,True
2,calvin,2017-02-10,calvin,ODS_FIN_0573,,9999-12-31,True
3,user1,2017-02-10,user1,ODS_POS_0990,,9999-12-31,True
4,user1,2017-02-10,user1,ODS_POS_0990,,9999-12-31,True
5,user1,2017-02-10,user1,ODS_POS_0990,,9999-12-31,True
6,user1,2017-02-10,user1,ODS_POS_0990,,9999-12-31,True
7,user1,2017-02-10,user1,ODS_POS_0990,,9999-12-31,True
8,calvin,2017-02-10,calvin,ODS_FIN_0740,,9999-12-31,True
9,calvin,2017-02-10,calvin,ODS_FIN_0741,,9999-12-31,True
10,calvin,2017-02-10,calvin,ODS_FIN_0742,,9999-12-31,True
11,calvin,2017-02-10,calvin,ODS_FIN_0743,,9999-12-31,True
12,001751,2017-02-10,001751,ODS_UNB_0680,,9999-12-31,True
13,NBJENIA,2017-02-10,NBJENIA,ODS_UNB_0680,,9999-12-31,True
14,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True
15,calvin,2017-02-10,calvin,ODS_FIN_0761,,9999-12-31,True
16,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True
17,calvin,2017-02-10,calvin,ODS_FIN_0783,,9999-12-31,True
18,calvin,2017-02-10,calvin,ODS_FIN_0784,,9999-12-31,True
19,calvin,2017-02-10,calvin,ODS_FIN_0785,,9999-12-31,True
20,mPOS,2017-02-10,mPOS,FMT_POS_0070,,,True
21,mPOS,2017-02-10,mPOS,FMT_POS_0080,,,True
22,mPOS,2017-02-10,mPOS,FMT_POS_0090,,,True
23,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True
24,mPOS,2017-02-10,mPOS,FMT_POS_0310,,,True
25,mPOS,2017-02-10,mPOS,FMT_POS_0100,,,True
26,mPOS,2017-02-10,mPOS,FMT_POS_0110,,,True
27,mPOS,2017-02-10,mPOS,FMT_POS_0340,,,True
28,mPOS,2017-02-10,mPOS,FMT_POS_0130,,,True
29,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True
30,mPOS,2017-02-10,mPOS,FMT_POS_0150,,,True
31,mPOS,2017-02-10,mPOS,FMT_POS_0360,,,True
32,mPOS,2017-02-10,mPOS,FMT_POS_0180,,,True
33,mPOS,2017-02-10,mPOS,FMT_POS_0270,,,True
34,mPOS,2017-02-10,mPOS,FMT_POS_0290,,,True
35,mPOS,2017-02-10,mPOS,FMT_POS_0320,,,True
36,mPOS,2017-02-10,mPOS,FMT_POS_1570,,,True
37,mPOS,2017-02-10,mPOS,FMT_POS_7210,,,True
38,mPOS,2017-02-10,mPOS,FMT_POS_7220,,,True
39,mPOS,2017-02-10,mPOS,FMT_POS_7230,,,True
40,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True
41,mPOS,2017-02-10,mPOS,ODS_POS_7160,,,True
42,mPOS,2017-02-10,mPOS,FMT_PA_0850,,,True
43,mPOS,2017-02-10,mPOS,FMT_PA_0851,,,True
44,mPOS,2017-02-10,mPOS,FMT_PA_0852,,,True
45,mPOS,2017-02-10,mPOS,FMT_PA_0853,,,True
46,mPOS,2017-02-10,mPOS,FMT_PA_0854,,,True
47,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
48,mPOS,2017-02-10,mPOS,FMT_PA_0930,,,True
49,mPOS,2017-02-10,mPOS,FMT_PA_0750,,,True
50,mPOS,2017-02-10,mPOS,FMT_PA_0780,,,True
51,mPOS,2017-02-10,mPOS,FMT_PA_0790,,,True
52,mPOS,2017-02-10,mPOS,FMT_PA_0710,,,True
53,mPOS,2017-02-10,mPOS,FMT_POS_0070,,,True
54,mPOS,2017-02-10,mPOS,FMT_POS_0080,,,True
55,mPOS,2017-02-10,mPOS,FMT_POS_0090,,,True
56,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True
57,mPOS,2017-02-10,mPOS,FMT_POS_0310,,,True
58,mPOS,2017-02-10,mPOS,FMT_POS_0100,,,True
59,mPOS,2017-02-10,mPOS,FMT_POS_0110,,,True
60,mPOS,2017-02-10,mPOS,FMT_POS_0340,,,True
61,mPOS,2017-02-10,mPOS,FMT_POS_0130,,,True
62,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True
63,mPOS,2017-02-10,mPOS,FMT_POS_0150,,,True
64,mPOS,2017-02-10,mPOS,FMT_POS_0360,,,True
65,mPOS,2017-02-10,mPOS,FMT_POS_0180,,,True
66,mPOS,2017-02-10,mPOS,FMT_POS_0270,,,True
67,mPOS,2017-02-10,mPOS,FMT_POS_0290,,,True
68,mPOS,2017-02-10,mPOS,FMT_POS_0320,,,True
69,mPOS,2017-02-10,mPOS,FMT_POS_1570,,,True
70,mPOS,2017-02-10,mPOS,FMT_POS_7210,,,True
71,mPOS,2017-02-10,mPOS,FMT_POS_7220,,,True
72,mPOS,2017-02-10,mPOS,FMT_POS_7230,,,True
73,mPOS,2017-02-10,mPOS,ODS_POS_1670,,,True
74,mPOS,2017-02-10,mPOS,ODS_POS_7160,,,True
75,mPOS,2017-02-10,mPOS,FMT_PA_0850,,,True
76,mPOS,2017-02-10,mPOS,FMT_PA_0851,,,True
77,mPOS,2017-02-10,mPOS,FMT_PA_0852,,,True
78,mPOS,2017-02-10,mPOS,FMT_PA_0853,,,True
79,mPOS,2017-02-10,mPOS,FMT_PA_0854,,,True
80,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
81,mPOS,2017-02-10,mPOS,FMT_PA_0930,,,True
82,mPOS,2017-02-10,mPOS,FMT_PA_0750,,,True
83,mPOS,2017-02-10,mPOS,FMT_PA_0780,,,True
84,mPOS,2017-02-10,mPOS,FMT_PA_0790,,,True
85,mPOS,2017-02-10,mPOS,FMT_PA_0710,,,True
86,001713,2017-02-10,001713,ODS_UNB_0460,2016-08-31,2016-08-31,True
87,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True
88,user1,2017-02-10,user1,ODS_POS_0430,,9999-12-31,True
89,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True
90,roxana,2017-02-10,roxana,ODS_POS_7150,,9999-12-31,True
91,002064,2017-02-09,002064,ODS_PA_0680,2016-12-31,2016-12-31,True
92,002064,2017-02-09,002064,ODS_PA_0680,2016-11-30,2016-11-30,True
93,roxana,2017-02-08,roxana,ODS_FIN_1060,,9999-12-31,True
94,mPOS,2017-02-08,mPOS,FMT_POS_0070,,,True
95,mPOS,2017-02-08,mPOS,FMT_POS_0080,,,True
96,mPOS,2017-02-08,mPOS,FMT_POS_0090,,,True
97,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True
98,mPOS,2017-02-08,mPOS,FMT_POS_0310,,,True
99,mPOS,2017-02-08,mPOS,FMT_POS_0100,,,True
100,mPOS,2017-02-08,mPOS,FMT_POS_0110,,,True
101,mPOS,2017-02-08,mPOS,FMT_POS_0340,,,True
102,mPOS,2017-02-08,mPOS,FMT_POS_0130,,,True
103,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True
104,mPOS,2017-02-08,mPOS,FMT_POS_0150,,,True
105,mPOS,2017-02-08,mPOS,FMT_POS_0360,,,True
106,mPOS,2017-02-08,mPOS,FMT_POS_0180,,,True
107,mPOS,2017-02-08,mPOS,FMT_POS_0270,,,True
